M
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2014-06-17T14:26:32Z,,3.460542233660817,72.696996470913291,3.700846452265978,72.934570703655481,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,
1,"2013-10-20",,,,,,"DarkGray",
2,"2013-10-22",,,,,,"DarkGray",
3,"2013-10-23",,,,,,"DarkGray",
4,"2013-10-27",,,,,,"DarkGray",
5,"2013-10-28",,,,,,"DarkGray",
6,"2013-10-29",,,,,,"DarkGray",
7,"2013-10-30",,,,,,"DarkGray",
8,"2013-10-31",,,,,,"DarkGray",
9,"2013-11-06",,,,,,"DarkGray",
10,"2013-11-07",,,,,,"DarkGray",
11,"2013-11-08",,,,,,"DarkGray",
12,"2013-11-21",,,,,,"DarkGray",
13,"2013-11-24",,,,,,"DarkGray",
14,"2013-11-25",,,,,,"DarkGray",
15,"2013-11-26",,,,,,"DarkGray",
16,"2013-11-27",,,,,,"DarkGray",
17,"2013-11-28",,,,,,"DarkGray",
18,"2013-12-02",,,,,,"DarkGray",
19,"2013-12-03",,,,,,"DarkGray",
20,"2013-12-04",,,,,,"DarkGray",
21,"2013-12-05",,,,,,"DarkGray",
22,"2013-12-11",,,,,,"DarkGray",
23,"2013-12-12",,,,,,"DarkGray",
24,"2013-12-16",,,,,,"DarkGray",
25,"2013-12-17",,,,,,"DarkGray",
26,"2013-12-18",,,,,,"DarkGray",
27,"2013-12-19",,,,,,"DarkGray",
28,"2013-12-22",,,,,,"DarkGray",
29,"2013-12-23",,,,,,"DarkGray",
30,"2013-12-24",,,,,,"DarkGray",
31,"2013-12-25",,,,,,"DarkGray",
32,"2013-12-26",,,,,,"DarkGray",
33,"2013-12-30",,,,,,"DarkGray",
34,"2014-01-01",,,,,,"DarkGray",
35,"2014-01-02",,,,,,"DarkGray",
36,"2014-01-04",,,,,,"DarkGray",
37,"2014-01-05",,,,,,"DarkGray",
38,"2014-01-22",,,,,,"DarkGray",
39,"2014-01-23",,,,,,"DarkGray",
40,"2014-01-26",,,,,,"DarkGray",
41,"2014-01-29",,,,,,"DarkGray",
42,"2014-01-30",,,,,,"DarkGray",
43,"2014-02-02",,,,,,"DarkGray",
44,"2014-02-03",,,,,,"DarkGray",
45,"2014-02-04",,,,,,"DarkGray",
46,"2014-02-05",,,,,,"DarkGray",
47,"2014-02-06",,,,,,"DarkGray",
48,"2014-02-07",,,,,,"DarkGray",
49,"2014-02-12",,,,,,"DarkGray",
50,"2014-02-13",,,,,,"DarkGray",
51,"2014-02-14",,,,,,"DarkGray",
52,"2014-02-16",,,,,,"DarkGray",
53,"2014-02-17",,,,,,"DarkGray",
54,"2014-02-18",,,,,,"DarkGray",
55,"2014-02-19",,,,,,"DarkGray",
56,"2014-02-20",,,,,,"DarkGray",
57,"2014-02-24",,,,,,"DarkGray",
58,"2014-02-25",,,,,,"DarkGray",
59,"2014-02-26",,,,,,"DarkGray",
60,"2014-02-27",,,,,,"DarkGray",
61,"2014-03-02",,,,,,"DarkGray",
62,"2014-03-03",,,,,,"DarkGray",
63,"2014-03-04",,,,,,"DarkGray",
64,"2014-03-05",,,,,,"DarkGray",
65,"2014-03-06",,,,,,"DarkGray",
66,"2014-03-10",,,,,,"DarkGray",
67,"2014-03-25",,,,,,"DarkGray",
68,"2014-03-26",,,,,,"DarkGray",
69,"2014-03-27",,,,,,"DarkGray",
70,"2014-03-28",,,,,,"DarkGray",
71,"2014-03-30",,,,,,"DarkGray",
72,"2014-03-31",,,,,,"DarkGray",
73,"2014-04-01",,,,,,"DarkGray",

trkseg
ID,trkID,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,10,
11,11,
12,12,
13,13,
14,14,
15,15,
16,16,
17,17,
18,18,
19,19,
20,20,
21,21,
22,22,
23,23,
24,24,
25,25,
26,26,
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,
61,61,
62,62,
63,63,
64,64,
65,65,
66,66,
67,67,
68,68,
69,69,
70,70,
71,71,
72,72,
73,73,

trkpt
