"","Date","TotalPrice","Guests","Weekday","Month","Season","Year","Day","Liveaboard","Resort","GuestLive","GuestResort","WSpeed"
"1",2011-11-06,44238.0985507246,161,"Sunday","November","High","2011",0,13,7,71,110,4.736671
"2",2011-11-07,34651.6176470588,161,"Monday","November","High","2011",1,5,12,34,142,3.5443833
"3",2011-11-09,67811.9710144928,414,"Wednesday","November","High","2011",3,16,24,74,363,2.5572948
"4",2011-11-10,51400.2,268,"Thursday","November","High","2011",4,9,8,113,170,1.8620331
"5",2011-11-11,0,38,"Friday","November","High","2011",5,0,0,0,0,2.106651
"6",2011-11-13,48545.0166666667,295,"Sunday","November","High","2011",7,5,13,73,238,2.6764457
"7",2011-11-15,44375,367,"Tuesday","November","High","2011",9,6,12,44,266,3.9550762
"8",2011-11-16,75644.7907928389,591,"Wednesday","November","High","2011",10,8,26,51,537,5.396414
"9",2011-11-20,59401.969458653,406,"Sunday","November","High","2011",14,13,18,118,291,4.5466785
"10",2011-11-25,46976.2206521739,255,"Friday","November","High","2011",19,6,14,98,162,3.1345377
"11",2011-11-27,2587.11764705882,11,"Sunday","November","High","2011",21,3,1,9,6,6.820712
"12",2011-11-28,32598.3205456095,178,"Monday","November","High","2011",22,7,10,103,92,9.381404
"13",2011-11-29,17504.443627451,116,"Tuesday","November","High","2011",23,6,10,18,114,6.404074
"14",2011-11-30,28626.3905797101,224,"Wednesday","November","High","2011",24,10,11,63,144,2.833308
"15",2011-12-02,46960.0775362319,371,"Friday","December","High","2011",26,3,16,10,378,3.4614098
"16",2011-12-03,11776.9130434783,77,"Saturday","December","High","2011",27,1,6,16,68,2.4131205
"17",2011-12-04,32397.1215686275,129,"Sunday","December","High","2011",28,11,5,112,31,2.741592
"18",2011-12-06,20192.1764705882,137,"Tuesday","December","High","2011",30,4,8,44,105,2.09746
"19",2011-12-07,33793.8692028986,202,"Wednesday","December","High","2011",31,8,8,64,154,3.5877397
"20",2011-12-25,41411.5019607843,338,"Sunday","December","High","2011",49,7,12,66,239,3.3285246
"21",2011-12-28,29972.8,208,"Wednesday","December","High","2011",52,4,14,26,198,4.4720554
"22",2011-12-29,19248.5852941176,129,"Thursday","December","High","2011",53,8,10,39,108,5.631869
"23",2011-12-31,17820.7519607843,125,"Saturday","December","High","2011",55,6,10,18,123,6.3249035
"24",2012-01-04,22631.9166666667,120,"Wednesday","January","High","2012",59,3,8,9,122,4.1389356
"25",2012-01-05,17073.6833333333,152,"Thursday","January","High","2012",60,2,11,6,159,3.465427
"26",2012-01-23,95945.1642156863,538,"Monday","January","High","2012",78,16,22,139,390,5.02947
"27",2012-01-26,62109.4568627451,313,"Thursday","January","High","2012",81,13,8,157,138,3.9845078
"28",2012-02-01,89299.9475490196,382,"Wednesday","February","High","2012",87,31,5,272,146,5.7831054
"29",2012-02-02,66129.5215686274,366,"Thursday","February","High","2012",88,10,12,140,248,6.2024
"30",2012-02-03,27601.475,250,"Friday","February","High","2012",89,3,13,9,257,5.079463
"31",2012-02-07,6596.71862745098,28,"Tuesday","February","High","2012",93,12,2,36,6,5.654606
"32",2012-02-08,110,2,"Wednesday","February","High","2012",94,0,1,0,3,6.010401
"33",2012-02-09,1566.26666666667,8,"Thursday","February","High","2012",95,3,0,9,0,6.086277
"34",2012-02-10,18637.0915601023,234,"Friday","February","High","2012",96,7,7,57,112,4.7699966
"35",2012-02-12,9482.2,39,"Sunday","February","High","2012",98,1,0,40,0,4.375422
"36",2012-02-13,94939.726342711,472,"Monday","February","High","2012",99,15,8,329,127,3.7879639
"37",2012-02-14,35272.5612745098,205,"Tuesday","February","High","2012",100,7,5,91,87,4.477641
"38",2012-02-15,27388.6509803922,192,"Wednesday","February","High","2012",101,12,10,76,138,5.5636816
"39",2012-02-16,9802,39,"Thursday","February","High","2012",102,4,1,35,9,5.1356063
"40",2012-02-20,35831.4705882353,169,"Monday","February","High","2012",106,4,2,120,55,5.414746
"41",2012-02-22,235,5,"Wednesday","February","High","2012",108,0,2,0,7,4.7781386
"42",2012-02-23,61348.8941176471,353,"Thursday","February","High","2012",109,9,8,170,166,4.9163594
"43",2012-02-24,736,8,"Friday","February","High","2012",110,0,1,0,9,5.582738
"44",2012-02-25,41899.737254902,311,"Saturday","February","High","2012",111,2,9,32,288,4.953412
"45",2012-02-26,7772.26666666667,99,"Sunday","February","High","2012",112,3,4,10,58,4.9156346
"46",2012-02-27,59778.9333333333,307,"Monday","February","High","2012",113,13,8,163,165,4.981382
"47",2012-05-07,63978.3918158568,391,"Monday","May","Low","2012",183,4,14,56,319,3.8344498
"48",2012-05-09,32127.2,110,"Wednesday","May","Low","2012",185,2,8,6,114,1.3301142
"49",2012-05-12,47430.8260869565,310,"Saturday","May","Low","2012",188,4,8,124,135,3.7823174
"50",2012-05-14,29605.1434782609,175,"Monday","May","Low","2012",190,3,10,41,147,2.6376302
"51",2012-05-16,86491.5083333333,449,"Wednesday","May","Low","2012",192,7,10,170,271,0.4469669
"52",2012-05-17,51404.5647058824,356,"Thursday","May","Low","2012",193,8,10,191,145,3.284618
"53",2012-05-19,21943.5147058824,161,"Saturday","May","Low","2012",195,3,5,47,107,8.394209
"54",2012-05-26,13384,156,"Saturday","May","Low","2012",202,0,6,0,124,8.09182
"55",2012-06-08,0,2,"Friday","June","Low","2012",215,0,0,0,0,8.436831
"56",2012-06-09,4688,87,"Saturday","June","Low","2012",216,0,3,0,51,6.706211
"57",2012-06-18,9814,79,"Monday","June","Low","2012",225,0,6,0,83,4.5501347
"58",2012-10-16,33899.9240196078,273,"Tuesday","October","High","2012",345,3,7,63,220,4.7846727
"59",2012-10-17,93732.6601875533,631,"Wednesday","October","High","2012",346,7,18,223,433,5.131066
"60",2012-10-20,32564,200,"Saturday","October","High","2012",349,2,8,45,165,4.037034
"61",2012-10-21,990,18,"Sunday","October","High","2012",350,0,1,0,19,3.6583312
"62",2012-10-22,56342.4994032396,255,"Monday","October","High","2012",351,8,4,196,71,5.8865466
"63",2012-10-23,37041.8,156,"Tuesday","October","High","2012",352,4,3,110,53,7.0457706
"64",2012-10-24,102242.329923274,415,"Wednesday","October","High","2012",353,9,8,369,63,7.312739
"65",2012-10-25,66046.4973572038,417,"Thursday","October","High","2012",354,8,14,103,336,6.550114
"66",2012-11-02,40370.8509803922,254,"Friday","November","High","2012",362,7,10,70,201,5.6579447
"67",2012-11-03,30967.672314578,151,"Saturday","November","High","2012",363,6,6,91,72,5.4118247
"68",2012-11-04,18705.6881074169,123,"Sunday","November","High","2012",364,6,6,62,73,7.04343
"69",2012-11-05,9289.88235294118,47,"Monday","November","High","2012",365,2,2,34,17,6.9258294
"70",2012-11-06,41620.4325234442,241,"Tuesday","November","High","2012",366,9,7,91,166,5.4784203
"71",2012-11-07,29178.8974211424,156,"Wednesday","November","High","2012",367,6,8,81,89,5.044516
"72",2012-11-08,11436.3043478261,62,"Thursday","November","High","2012",368,1,1,26,38,4.0084763
"73",2012-11-11,59231.1976768968,321,"Sunday","November","High","2012",371,7,11,155,184,3.6603556
"74",2012-11-12,93964.7318414322,503,"Monday","November","High","2012",372,14,9,322,204,8.195868
"75",2012-11-13,130332.58041347,530,"Tuesday","November","High","2012",373,21,10,411,150,6.670659
"76",2012-11-14,78939.862254902,303,"Wednesday","November","High","2012",374,12,11,218,108,4.2982435
"77",2012-11-15,50999.463086104,191,"Thursday","November","High","2012",375,12,6,145,64,2.7248096
"78",2012-11-19,49748.6833333333,290,"Monday","November","High","2012",379,6,11,91,216,1.6902676
"79",2012-11-20,116501.661040068,485,"Tuesday","November","High","2012",380,27,6,403,115,2.8633087
"80",2012-11-21,53080.4731457801,323,"Wednesday","November","High","2012",381,9,12,165,179,3.5587914
"81",2012-11-24,41820.8958226769,269,"Saturday","November","High","2012",384,5,11,96,189,3.1157563
"82",2012-11-25,41341.5412404092,231,"Sunday","November","High","2012",385,4,12,71,176,1.6370779
"83",2012-11-26,62449.6333333333,322,"Monday","November","High","2012",386,10,9,190,151,1.5597522
"84",2012-11-27,63565.9014705882,309,"Tuesday","November","High","2012",387,9,7,229,96,1.9264348
"85",2012-11-28,69694.4381926684,340,"Wednesday","November","High","2012",388,10,9,134,225,3.2349358
"86",2012-11-29,39254.3200767263,243,"Thursday","November","High","2012",389,10,8,132,129,5.906214
"87",2012-12-02,18267.5916666667,117,"Sunday","December","High","2012",392,2,5,24,100,0.9447204
