"","NameType","PricePP","Type"
"1","  LFV",NA,"LFV"
"2","  RDD",NA,"RDD"
"3","Aary RED",NA,"RED"
"4","AB Marine RDD",NA,"RDD"
"5","Abarama LFV",NA,"LFV"
"6","Abyssworld.com LVB",245,"LVB"
"7","Adventure 2 LVB",341,"LVB"
"8","AHA LVB",NA,"LVB"
"9","Almity RDD",NA,"RDD"
"10","Anastasia LVB",242,"LVB"
"11","Anastasia LVBDD",242,"LVBDD"
"12","Angaga RDD",17,"RDD"
"13","Angaga RED",NA,"RED"
"14","Angela RSB",NA,"RSB"
"15","Angsana Vevaru RSB",NA,"RSB"
"16","Araamagu LVBDD",NA,"LVBDD"
"17","Araamagu RED",NA,"RED"
"18","Arena RED",NA,"RED"
"19","Arevara LVB",NA,"LVB"
"20","Ari Queen LVB",239,"LVB"
"21","Ari Queen LVBDD",NA,"LVBDD"
"22","Ari Queen Tender",NA,"Tender"
"23","Arjs RDD",NA,"RDD"
"24","Ark Royal LVB",375,"LVB"
"25","Ark Royal LVBDD",375,"LVBDD"
"26","Ark Royal Tender",NA,"Tender"
"27","Ark Venture LVB",375,"LVB"
"28","Aroma RDD",NA,"RDD"
"29","Aroma RED",NA,"RED"
"30","Aroma RSB",NA,"RSB"
"31","Assedo RED",NA,"RED"
"32","Atlantis LVBDD",NA,"LVBDD"
"33","Atoll Challenger LVB",249,"LVB"
"34","Atoll Cruiser LVB",224,"LVB"
"35","Atoll Cruiser LVBDD",NA,"LVBDD"
"36","Atoll Diver LVBDD",NA,"LVBDD"
"37","Atoll Explorer LVBDD",NA,"LVBDD"
"38","Attamas LVBDD",NA,"LVBDD"
"39","Attamas RDD",NA,"RDD"
"40","Attamas RED",NA,"RED"
"41","Aurora LVB",314,"LVB"
"42","Banyan RSB",NA,"RSB"
"43","Best Dive 2 RSB",NA,"RSB"
"44","Binaret RDD",NA,"RDD"
"45","Black Pearl LVB",NA,"LVB"
"46","Black Pearl LVBDD",NA,"LVBDD"
"47","Blue Horizon LVB",262,"LVB"
"48","Blue Horizon LVBDD",NA,"LVBDD"
"49","Blue Lagoon LVB",NA,"LVB"
"50","Blue Marine RDD",NA,"RDD"
"51","Blue Marine RSB",NA,"RSB"
"52","Blue Shark LVB",195,"LVB"
"53","Blue Shark LVBDD",195,"LVBDD"
"54","Blue Shark Tender",NA,"Tender"
"55","Blue Wave LVB",NA,"LVB"
"56","Blue Wave RSB",NA,"RSB"
"57","Blue Wave Tender",NA,"Tender"
"58","Blue Whale RED",NA,"RED"
"59","Blue Whale RSB",NA,"RSB"
"60","Blues RSB",NA,"RSB"
"61","CanopusMaldives.com LVBDD",NA,"LVBDD"
"62","CanopusMaldives.com RDD",NA,"RDD"
"63","Cara RED",NA,"RED"
"64","Carpe Diem LVB",274,"LVB"
"65","Carpe Diem LVBDD",274,"LVBDD"
"66","Carpe Diem RED",NA,"RED"
"67","Carpe Diem Tender",NA,"Tender"
"68","Carpe Vitta LVB",381,"LVB"
"69","Carpe Vitta LVBDD",NA,"LVBDD"
"70","Centara Other",NA,"Other"
"71","Centara RED",50,"RED"
"72","Centara RSB",50,"RSB"
"73","Centara RSFB",50,"RSFB"
"74","Centre Max LVB",NA,"LVB"
"75","Chaedonee RED",NA,"RED"
"76","Challenger LVBDD",NA,"LVBDD"
"77","Chandhee LVBDD",NA,"LVBDD"
"78","Chandramee LVBDD",NA,"LVBDD"
"79","Conafoul LVB",NA,"LVB"
"80","Conrad LVBDD",NA,"LVBDD"
"81","Conrad Other",NA,"Other"
"82","Conrad RDD",200,"RDD"
"83","Conrad RED",200,"RED"
"84","Conrad RSB",667,"RSB"
"85","Conrad RSFB",NA,"RSFB"
"86","Constance RSB",250,"RSB"
"87","Consupa ? RDD",NA,"RDD"
"88","Corina LVB",231,"LVB"
"89","Corina LVBDD",231,"LVBDD"
"90","Deebo RDD",NA,"RDD"
"91","Dhaa RSB",NA,"RSB"
"92","Dhainkan baa LVB",NA,"LVB"
"93","Dhainkan baa LVBDD",NA,"LVBDD"
"94","Dharama RDD",NA,"RDD"
"95","Dhelda 39 RSFB",NA,"RSFB"
"96","Dheriyaa LVB",244,"LVB"
"97","Dheriyaa LVBDD",NA,"LVBDD"
"98","Dheriyaa RDD",NA,"RDD"
"99","Dheriyaa RED",NA,"RED"
"100","Dhervaa RDD",NA,"RDD"
"101","Dhinasha LVB",125,"LVB"
"102","DhJow Magili Stella LVB",NA,"LVB"
"103","Dhoamma LVBDD",NA,"LVBDD"
"104","Dhogaa LVBDD",NA,"LVBDD"
"105","Dhoni Yala RED",150,"RED"
"106","Dhoni Yala RSB",150,"RSB"
"107","Dhonifinolhu RSB",NA,"RSB"
"108","Dhonimigili LVB",NA,"LVB"
"109","Dive LVBDD",NA,"LVBDD"
"110","Dive Maldives LVBDD",NA,"LVBDD"
"111","Dive Maldives RDD",NA,"RDD"
"112","Dive RDD",NA,"RDD"
"113","Dive Theia LVBDD",259,"LVBDD"
"114","Dodi LVBDD",NA,"LVBDD"
"115","Dolphin RDD",NA,"RDD"
"116","Dolphin RED",118,"RED"
"117","Don Konomara LVB",NA,"LVB"
"118","Don Konomara LVBDD",NA,"LVBDD"
"119","Dorga LVBDD",NA,"LVBDD"
"120","Dream Catcher LVB",186,"LVB"
"121","Dream Catcher LVBDD",183,"LVBDD"
"122","Dream Catcher RDD",NA,"RDD"
"123","Duke of York LVB",NA,"LVB"
"124","Eagle Ray LVB",198,"LVB"
"125","Eagle Ray LVBDD",198,"LVBDD"
"126","Eagle Ray RDD",NA,"RDD"
"127","Eagle Ray RED",NA,"RED"
"128","Eagle Ray Tender",NA,"Tender"
"129","Eheetheriya RED",NA,"RED"
"130","Enough LVBDD",NA,"LVBDD"
"131","Enough RDD",NA,"RDD"
"132","Episode LVB",NA,"LVB"
"133","Episode RED",NA,"RED"
"134","Episode RSB",NA,"RSB"
"135","Equals LVB",NA,"LVB"
"136","Equator LVB",NA,"LVB"
"137","Equator LVBDD",NA,"LVBDD"
"138","Erica RED",NA,"RED"
"139","Escape LVB",NA,"LVB"
"140","Escape RSB",NA,"RSB"
"141","Euro LVBDD",NA,"LVBDD"
"142","Euro RDD",NA,"RDD"
"143","Evila RED",NA,"RED"
"144","Explorer LVBDD",320,"LVBDD"
"145","Explorer Tender",320,"Tender"
"146","Express RDD",NA,"RDD"
"147","Express RED",NA,"RED"
"148","Fadahas RDD",NA,"RDD"
"149","Farela LFV",NA,"LFV"
"150","Faromen RSB",NA,"RSB"
"151","Faruma Halla velli RSB",NA,"RSB"
"152","Faruma RSB",NA,"RSB"
"153","Faza LVBDD",NA,"LVBDD"
"154","Faza RDD",NA,"RDD"
"155","Faza RED",118,"RED"
"156","Feyruma LVBDD",NA,"LVBDD"
"157","Fira RED",NA,"RED"
"158","Fish Finder RSB",NA,"RSB"
"159","Fish Finder RSFB",NA,"RSFB"
"160","Flying Fish LVB",90,"LVB"
"161","Fun Azul Fleet LVB",NA,"LVB"
"162","Furavahli LVB",NA,"LVB"
"163","Furavahli LVBDD",NA,"LVBDD"
"164","Galaxy RSB",NA,"RSB"
"165","GLMcruiser.com LVB",NA,"LVB"
"166","Gofi LFV",NA,"LFV"
"167","Gomafulhu LVB",120,"LVB"
"168","Gomafulhu RED",NA,"RED"
"169","Gomafulhu RSB",NA,"RSB"
"170","Gomafulhu Tender",NA,"Tender"
"171","Green LVBDD",NA,"LVBDD"
"172","Green RDD",NA,"RDD"
"173","Grovilla LVB",NA,"LVB"
"174","Gulf Craft RSB",NA,"RSB"
"175","Gurahali LVB",NA,"LVB"
"176","Gurahali RED",NA,"RED"
"177","Gurahari LVBDD",NA,"LVBDD"
"178","Gurahari RED",NA,"RED"
"179","Guramali LVB",NA,"LVB"
"180","Guvaahu.com.mv LVB",NA,"LVB"
"181","H Maalin RSB",NA,"RSB"
"182","Habiyli Azul Maldives LVB",NA,"LVB"
"183","Haira LVB",NA,"LVB"
"184","Haleema LVB",250,"LVB"
"185","Haleema LVBDD",NA,"LVBDD"
"186","Haluvimas RDD",NA,"RDD"
"187","Haluvimas RED",NA,"RED"
"188","Hamathin LVB",NA,"LVB"
"189","Hamatyri LVB",NA,"LVB"
"190","Hamdy Cruise LVB",NA,"LVB"
"191","Hamdy Cruise Tender",NA,"Tender"
"192","Hamiafi LVB",NA,"LVB"
"193","Hammerhead LVB",NA,"LVB"
"194","Hammerhead LVBDD",NA,"LVBDD"
"195","Hammerhead Tender",NA,"Tender"
"196","Hariana LVB",NA,"LVB"
"197","Havati LVB",NA,"LVB"
"198","Havati LVBDD",NA,"LVBDD"
"199","Hawasa RDD",NA,"RDD"
"200","Hermine RSB",NA,"RSB"
"201","Hiaru RDD",NA,"RDD"
"202","Holiday Island LVB",NA,"LVB"
"203","Holiday Island RDD",35,"RDD"
"204","Holiday Island RED",35,"RED"
"205","Holiday Island RSB",NA,"RSB"
"206","Honveli Azul LVB",NA,"LVB"
"207","Hope Cruiser LVB",NA,"LVB"
"208","Horizon LVB",132,"LVB"
"209","Hospitality RSB",NA,"RSB"
"210","Impress Muni LVBDD",144,"LVBDD"
"211","Impress Muni RDD",144,"RDD"
"212","Irafushi RSB",NA,"RSB"
"213","Isaan RED",NA,"RED"
"214","Isan RDD",NA,"RDD"
"215","Isan RED",NA,"RED"
"216","Isis Cruiser LVB",NA,"LVB"
"217","Isis Cruiser LVBDD",NA,"LVBDD"
"218","Island Divers RDD",NA,"RDD"
"219","Island Divers RED",NA,"RED"
"220","Jiasantha LVBDD",NA,"LVBDD"
"221","Jihaadh LVBDD",NA,"LVBDD"
"222","Jihaadh RDD",NA,"RDD"
"223","Jihaadh RED",NA,"RED"
"224","Kaamiyaab LVBDD",NA,"LVBDD"
"225","Kaamiyaab RDD",NA,"RDD"
"226","Kafi LVB",NA,"LVB"
"227","Kafi RED",NA,"RED"
"228","Kamylas LVBDD",NA,"LVBDD"
"229","Kandi Baru LVBDD",NA,"LVBDD"
"230","Kandooma RSB",171,"RSB"
"231","Kefi LVB",NA,"LVB"
"232","Kefi LVBDD",NA,"LVBDD"
"233","Kethi LVB",NA,"LVB"
"234","Kethi LVBDD",NA,"LVBDD"
"235","Keyif LVB",145,"LVB"
"236","Keyif LVBDD",NA,"LVBDD"
"237","King Fish Other",NA,"Other"
"238","Kitha LVB",NA,"LVB"
"239","Koimala LVB",NA,"LVB"
"240","Kokala RDD",NA,"RDD"
"241","Kokala RED",NA,"RED"
"242","Kokomo RED",NA,"RED"
"243","Kuin ? LVBDD",NA,"LVBDD"
"244","Kuru Mas LVBDD",NA,"LVBDD"
"245","Kurumas LVBDD",NA,"LVBDD"
"246","Kuumas LVBDD",NA,"LVBDD"
"247","Laal LVBDD",NA,"LVBDD"
"248","Laal RDD",NA,"RDD"
"249","Laal RED",NA,"RED"
"250","Lara LVB",267,"LVB"
"251","Leo LVB",NA,"LVB"
"252","Leo RDD",NA,"RDD"
"253","Lets Dive RDD",NA,"RDD"
"254","Liberty RSB",NA,"RSB"
"255","Lily Beach RDD",NA,"RDD"
"256","Lily Beach RED",NA,"RED"
"257","Lily Beach RSB",110,"RSB"
"258","Loo Loo LVBDD",244,"LVBDD"
"259","Loo Loo RDD",NA,"RDD"
"260","Luna LVBDD",NA,"LVBDD"
"261","Luna RDD",NA,"RDD"
"262","Lux RDD",88,"RDD"
"263","Lux RED",118,"RED"
"264","Lux RSB",NA,"RSB"
"265","Maafushivaru RDD",NA,"RDD"
"266","Maafushivaru RED",92,"RED"
"267","Maafushivaru RSB",55,"RSB"
"268","Maamjaa LVBDD",NA,"LVBDD"
"269","Maaralhi LVB",214,"LVB"
"270","Maavahi LVB",214,"LVB"
"271","Magudashy RED",NA,"RED"
"272","Maha LVB",NA,"LVB"
"273","Maina RSB",NA,"RSB"
"274","Mala RED",250,"RED"
"275","Mala RSB",NA,"RSB"
"276","Maldiver LVBDD",183,"LVBDD"
"277","Maldiver RDD",NA,"RDD"
"278","Maldives Aggressor LVB",NA,"LVB"
"279","Maldives Aggressor LVBDD",NA,"LVBDD"
"280","Maldives Aurora RDD",NA,"RDD"
"281","Maldives Beach Club RDD",NA,"RDD"
"282","Maldives Boatclub.com LVB",NA,"LVB"
"283","Maldives Boatclub.com LVBDD",NA,"LVBDD"
"284","Maldives Boatclub.com RDD",NA,"RDD"
"285","Maldives Dive Club.com LVBDD",NA,"LVBDD"
"286","Maldives Diving LVBDD",NA,"LVBDD"
"287","Maldives Diving RDD",NA,"RDD"
"288","Maldives Siren LVB",NA,"LVB"
"289","Maldivian Coral LVB",NA,"LVB"
"290","Maldivian Dream LVB",273,"LVB"
"291","Maldivian Dream LVBDD",NA,"LVBDD"
"292","Maldivian Dream Tender",NA,"Tender"
"293","Maldivian Princess LVBDD",NA,"LVBDD"
"294","Maldivian Star LVB",NA,"LVB"
"295","Maldivian Star LVBDD",NA,"LVBDD"
"296","Maldiviana LVB",183,"LVB"
"297","Maldiviana LVBDD",NA,"LVBDD"
"298","Maldiviana RDD",183,"RDD"
"299","Maldiviana Tender",183,"Tender"
"300","Malima LVBDD",NA,"LVBDD"
"301","Malin Two RDD",NA,"RDD"
"302","Maluvimas RDD",NA,"RDD"
